,quant_tracking,quant_tracking_bounded,quant_tracking_monotonic,quant_tracking_proj
0.54,3.5776696973854882e-06,0.04103493418095561,0.007002829886341044,0.0014615133442040795
0.55,3.1532763280495146e-06,0.04992611972103356,0.006783091541089914,0.0011831314497434686
0.56,3.6157419258664447e-06,0.05867219296259496,0.0065310937009049885,0.0002559013633665064
0.57,3.634778040106923e-06,0.06708846552570913,0.00629705475480713,0.0006604647006616116
0.58,3.432099412448153e-06,0.07579019581890778,0.006120883356322104,0.0005468549315965632
0.59,3.6728502682548125e-06,0.08408696413618477,0.005862455788624765,0.0028655667375928617
0.6,2.5833126736651835e-06,0.0933352212679529,0.0056048042225237404,0.003914850789338176
0.61,3.2674930132703395e-06,0.10172743778158055,0.005485502655314001,0.005388053427429984
0.62,3.6191012401376454e-06,0.11002453867097017,0.005319308420210778,0.0058268459375925286
0.63,3.6381373542671014e-06,0.11843183178704098,0.005147460459191344,0.006959051302775632
0.64,3.1028866139815037e-06,0.1268457763453661,0.004954438740328748,0.008499322650266095
0.65,3.01106535738338e-06,0.13517746473447867,0.004724058087470673,0.0100275105443276
0.66,2.697529358774986e-06,0.143503610255046,0.0044947860083217606,0.011042096238978893
0.67,4.157711294694444e-06,0.15191711138388742,0.004239240732267779,0.010911525292165214
0.68,3.955032667035674e-06,0.160018549013627,0.004050209878757927,0.011943848166161453
0.69,2.7546377013853984e-06,0.16810446661143952,0.003800540043362055,0.013120507337078258
0.7,3.6605327827787804e-06,0.1762675409394031,0.003632682947695365,0.013591670199545436
0.71,4.012141009646086e-06,0.18403529788271378,0.0034176006120222313,0.01559111277733094
0.72,3.4768902693604886e-06,0.19184074633213277,0.0031904348229203627,0.01680036401529439
0.73,3.828498496227795e-06,0.19963156160859186,0.0030202497224646185,0.018071473666223525
0.74,3.514962497841445e-06,0.2071313762864213,0.0027647044464107484,0.019748543009412645
0.75,4.310000208285203e-06,0.21485844857460945,0.0025313306445382544,0.02123072509454782
0.76,3.663892097049981e-06,0.22214730167560348,0.0022930791183457533,0.021760309791482912
0.77,4.348072436766159e-06,0.22976129944546675,0.002045072143513349,0.02336576527306633
0.78,5.253967518159541e-06,0.2369188974193076,0.0017008409707343075,0.025464425197813223
0.79,5.2730036324000196e-06,0.24351600052584466,0.0014530557106438025,0.026635652357555606
0.8,4.183466037366301e-06,0.25013206024280676,0.0011697960918632955,0.028267048463931133
0.81,4.756789006243878e-06,0.25629050073266635,0.0009588154789138548,0.029415439005266775
0.82,5.551826716687636e-06,0.2621443051672748,0.0007356405551647294,0.031651007783083274
0.83,3.35371541282381e-06,0.2673464899756942,0.0004746632679364371,0.032920232858707044
0.84,4.370467865277838e-06,0.27275830607249796,0.00028430212597552185,0.03377529479662378
0.85,7.271795622987298e-06,0.27722861051819203,8.917411706577116e-05,0.033220140119237795
0.86,3.0782516426963724e-06,0.28169558924275895,2.6690871645751457e-05,0.03310575434857643
0.87,6.423008884093306e-06,0.28525885867969547,0.0002378931993369804,0.03333469385561261
