,quant_tracking,quant_tracking_simple_proj,quant_tracking_monotonic,quant_tracking_proj
0.77,0.9440811260976216,0.9476291629501222,0.9878967874161494,0.9456430264277366
0.78,0.9267794846800756,0.9194526698973255,0.918587993692191,0.9080412938574534
0.79,0.8754688071179336,0.8934972369283027,0.8808466565748388,0.8654148657993359
0.8,0.8592171657004033,0.8471851122525593,0.8251407183401991,0.8213830295242326
0.81,0.7625899218731935,0.7638252745565417,0.800578653765062,0.7754121024879358
0.82,0.7504117744315558,0.72858864548734,0.762802461877618,0.7373866113625831
0.83,0.6765745908453309,0.6751672854316689,0.7367008034399308,0.6975808684005996
0.84,0.634604274728969,0.632640229938823,0.6876541388300234,0.6479973443416251
0.85,0.6058369706608483,0.586117476631668,0.6670259228031306,0.6082029489685604
0.86,0.5844112328577431,0.5732565717990652,0.6284020693107636,0.5720222442298492
0.87,0.554802663729347,0.531049413770656,0.5859292408444186,0.5357186634764048
0.88,0.5015437933961359,0.4909220157113787,0.5480142215249436,0.4936143175814283
0.89,0.4757388387255809,0.4700260163317512,0.482873793798622,0.45321128002008715
0.9,0.4409393057417661,0.3985199671405198,0.4604057473021184,0.41374003400802334
0.91,0.3464963992639699,0.3587470713005454,0.4029716672805566,0.36700975638523
0.92,0.28814776989460505,0.3282035111215721,0.3395702364962265,0.3225703933962014
0.93,0.27458438148910763,0.2902915439247702,0.3064999592121152,0.280716529328757
0.94,0.2571140653727647,0.25619296974756495,0.2512904930038652,0.2365516526431666
0.95,0.19239164082267796,0.2263309572638592,0.19931199852530068,0.19281192047548565
0.96,0.15313698735693837,0.1757738204556011,0.15325595408150658,0.1530590448950735
0.97,0.09694528569843675,0.11780731964416986,0.11189344319791301,0.10870311992578327
0.98,0.04119635512425677,0.0880645685664737,0.08178758175504659,0.058421640348652285
0.99,0.008676039007911116,0.04340956301394613,0.038852065898495096,0.00517555816238398
