,quant_tracking,quant_tracking_simple_proj,quant_tracking_monotonic,quant_tracking_monotonic_fixed,quant_tracking_proj
0.86,0.0035843373493975937,0.0037801204819277144,0.009691265060240971,0.011408132530120492,0.02286144578313254
0.87,0.0029743975903614487,0.003659638554216871,0.009337349397590369,0.009021084337349406,0.02299698795180725
0.88,0.003087349397590364,0.0036144578313253043,0.008365963855421692,0.012131024096385553,0.024600903614457853
0.89,0.002876506024096388,0.0032304216867469907,0.008012048192771092,0.012409638554216878,0.02716114457831328
0.9,0.002560240963855424,0.003072289156626509,0.008027108433734944,0.013079819277108449,0.027236445783132553
0.91,0.0021987951807228936,0.002823795180722894,0.007131024096385547,0.015052710843373498,0.030459337349397615
0.92,0.0022289156626506025,0.0028614457831325295,0.0077635542168674665,0.01371987951807227,0.028689759036144607
0.93,0.0018072289156627244,0.002740963855421743,0.007597891566265077,0.01490210843373494,0.025685240963855452
0.94,0.0017394578313253584,0.002183734939759088,0.006197289156626527,0.015060240963855403,0.023328313253012076
0.95,0.0018674698795181528,0.002356927710843447,0.005301204819277157,0.015451807228915633,0.026558734939759087
0.96,0.0013780120481928552,0.001995481927710913,0.005135542168674758,0.01021837349397593,0.025707831325301286
0.97,0.0014608433734939771,0.0017921686746987968,0.00458584337349398,0.010986445783132537,0.02113704819277109
0.98,0.0011521084337349408,0.0021009036144578335,0.004307228915662655,0.008237951807228921,0.016724397590361463
0.99,0.0006250000000000006,0.0010240963855421695,0.002183734939759038,0.007756024096385549,0.01036144578313254
