,quant_tracking,quant_tracking_simple_proj,quant_tracking_monotonic,quant_tracking_monotonic_fixed,quant_tracking_proj
0.82,0.980798822624271,1.0584417436498283,0.7520947748402315,0.9834322580666733,1.1455133779249826
0.83,0.8789920607247884,1.0032389552310306,0.7262145958639034,0.9391830367301278,1.111812559478908
0.84,0.9001371060542194,0.9530556292160658,0.6983918745560711,0.8931514397689716,1.076655147487683
0.85,0.791221910419885,0.9158892796885079,0.6533463122876659,0.8454370941763926,1.0397106251364088
0.86,0.8459573171950994,0.8851423392419905,0.6213059568864947,0.7967897492238766,1.0000863507605697
0.87,0.605728868548628,0.7945384782863455,0.5869731360942932,0.7467428092165591,0.9539725348962103
0.88,0.5988136729142056,0.716070966709277,0.5542766890033096,0.6957383319233069,0.8988381911909676
0.89,0.5477177543882138,0.6636209271582268,0.5173421845535568,0.643724130215453,0.8307976970614988
0.9,0.4359350888742727,0.5804366129541227,0.433700296690384,0.5908222895669808,0.7598536933189658
0.91,0.30240543540852177,0.5442667961466712,0.3954169817982399,0.5364512948585506,0.693084041927868
0.92,0.319586625316266,0.482381203329384,0.35509181500946757,0.4808619596798004,0.6274222117669401
0.93,0.14749070679027765,0.4005080663457323,0.29645452943445566,0.4242684202998242,0.5687762411470202
0.94,0.2088285232040461,0.36043385726512833,0.26898927542725326,0.36700321162481503,0.5114087957522119
0.95,0.014942094117126025,0.29742349929328676,0.21781200017179297,0.30874569555426895,0.450056320903254
0.96,0.07086933794431861,0.24286098325429087,0.15329416625585607,0.2494894859246313,0.37860559399248905
0.97,0.15574838900034563,0.19186657196659207,0.11724123066527632,0.18947908089232376,0.29987943210611057
0.98,0.2886876810203107,0.11297186472326948,0.08685380237956299,0.1276810767508129,0.2117555026158415
0.99,0.5293619127993118,0.060119156311859476,0.041466228892637916,0.06444356048523722,0.11045052989918235
